story_id,capability_id,story_type,summary,persona,agile_state,priority,value_score,story_readiness_pct,acceptance_criteria_count,dependency,target_sprint,effort_points,qa_status,acceptance_decision
ADO-0001,REL001,User Story,"As a business sponsor, I need to complete training readiness for traveler profile merge rules.",Business sponsor,Ready,P1,76.2,54.9,7,Dynamics config,Sprint 13,8,Passed,Defer
ADO-0002,REL001,Epic,"As a reservations agent, I need to capture exception evidence for traveler profile merge rules.",Reservations agent,In QA,P2,83.0,69.4,2,Business sign-off,Sprint 14,2,Not started,Ready for sprint
ADO-0003,REL001,Epic,"As a training coordinator, I need to review release impact for traveler profile merge rules.",Training coordinator,Committed,P2,75.6,57.0,4,Business sign-off,Sprint 15,13,Passed,Ready for sprint
ADO-0004,REL001,User Story,"As a travel advisor, I need to confirm acceptance criteria for traveler profile merge rules.",Travel advisor,In QA,P2,73.8,34.1,5,Training owner,Sprint 16,8,In progress,Clarify
ADO-0005,REL001,Epic,"As a product owner, I need to complete training readiness for traveler profile merge rules.",Product owner,Ready,P1,71.2,46.8,4,Business sign-off,Sprint 17,13,Needs rework,Needs dependency
ADO-0006,REL001,Feature,"As a training coordinator, I need to review release impact for traveler profile merge rules.",Training coordinator,Refining,P0,84.9,55.3,5,Business sign-off,Sprint 12,5,Passed,Needs dependency
ADO-0007,REL001,Feature,"As a business sponsor, I need to confirm acceptance criteria for traveler profile merge rules.",Business sponsor,New,P1,57.3,50.7,4,Training owner,Sprint 13,3,Not started,Clarify
ADO-0008,REL001,Epic,"As a business sponsor, I need to route escalation for traveler profile merge rules.",Business sponsor,Refining,P1,81.2,42.1,5,ServiceNow mapping,Sprint 14,5,In progress,Ready for sprint
ADO-0009,REL001,User Story,"As a product owner, I need to capture exception evidence for traveler profile merge rules.",Product owner,Committed,P2,72.2,73.3,6,QA data,Sprint 15,3,Not started,Needs dependency
ADO-0010,REL002,User Story,"As a travel advisor, I need to confirm acceptance criteria for advisor quote handoff.",Travel advisor,Refining,P2,56.6,80.6,8,None,Sprint 16,2,In progress,Clarify
ADO-0011,REL002,Enabler,"As a business sponsor, I need to validate rollback trigger for advisor quote handoff.",Business sponsor,Ready,P2,70.0,88.4,10,Dynamics config,Sprint 17,13,Needs rework,Ready for sprint
ADO-0012,REL002,User Story,"As a training coordinator, I need to prioritize enhancement request for advisor quote handoff.",Training coordinator,Ready,P2,62.4,84.4,6,ServiceNow mapping,Sprint 12,5,Not started,Needs dependency
ADO-0013,REL002,Feature,"As a travel advisor, I need to prioritize enhancement request for advisor quote handoff.",Travel advisor,New,P2,59.5,100,6,ServiceNow mapping,Sprint 13,5,In progress,Defer
ADO-0014,REL002,User Story,"As a reservations agent, I need to complete training readiness for advisor quote handoff.",Reservations agent,Ready,P0,68.7,73.3,8,ServiceNow mapping,Sprint 14,5,Needs rework,Defer
ADO-0015,REL002,User Story,"As a reservations agent, I need to confirm acceptance criteria for advisor quote handoff.",Reservations agent,New,P1,56.9,57.7,8,Training owner,Sprint 15,3,Needs rework,Defer
ADO-0016,REL003,Enabler,"As a traveler, I need to review release impact for guided tour rooming list changes.",Traveler,Committed,P1,87.4,83.1,7,None,Sprint 16,3,Not started,Needs dependency
ADO-0017,REL003,User Story,"As a reservations agent, I need to confirm acceptance criteria for guided tour rooming list changes.",Reservations agent,Committed,P0,77.7,100,5,Business sign-off,Sprint 17,2,Not started,Clarify
ADO-0018,REL003,User Story,"As a product owner, I need to confirm acceptance criteria for guided tour rooming list changes.",Product owner,Committed,P2,85.5,79.3,5,None,Sprint 12,8,Passed,Defer
ADO-0019,REL003,Enabler,"As a business sponsor, I need to capture exception evidence for guided tour rooming list changes.",Business sponsor,Refining,P2,98.9,53.9,5,ServiceNow mapping,Sprint 13,13,In progress,Defer
ADO-0020,REL003,User Story,"As a travel advisor, I need to capture exception evidence for guided tour rooming list changes.",Travel advisor,Refining,P2,96.6,97.4,4,Training owner,Sprint 14,3,Passed,Defer
ADO-0021,REL003,Epic,"As a product owner, I need to publish stakeholder update for guided tour rooming list changes.",Product owner,In QA,P1,91.9,71.0,7,Dynamics config,Sprint 15,3,Not started,Needs dependency
ADO-0022,REL003,Feature,"As a reservations agent, I need to review release impact for guided tour rooming list changes.",Reservations agent,Committed,P1,91.8,44.3,6,None,Sprint 16,13,Needs rework,Ready for sprint
ADO-0023,REL004,Enabler,"As a product owner, I need to route escalation for river cruise cabin inventory exception.",Product owner,Accepted,P2,70.6,67.0,3,ServiceNow mapping,Sprint 17,2,Passed,Accept
ADO-0024,REL004,Enabler,"As a support lead, I need to validate rollback trigger for river cruise cabin inventory exception.",Support lead,Accepted,P2,55.5,72.9,5,Training owner,Sprint 12,2,Passed,Accept
ADO-0025,REL004,Epic,"As a travel advisor, I need to validate rollback trigger for river cruise cabin inventory exception.",Travel advisor,New,P2,73.4,58.5,2,ServiceNow mapping,Sprint 13,3,In progress,Needs dependency
ADO-0026,REL004,Enabler,"As a business sponsor, I need to publish stakeholder update for river cruise cabin inventory exception.",Business sponsor,In QA,P2,73.2,90.9,2,ServiceNow mapping,Sprint 14,2,In progress,Needs dependency
ADO-0027,REL004,Enabler,"As a reservations agent, I need to route escalation for river cruise cabin inventory exception.",Reservations agent,In QA,P0,60.4,84.2,8,Business sign-off,Sprint 15,13,In progress,Clarify
ADO-0028,REL004,Feature,"As a reservations agent, I need to validate rollback trigger for river cruise cabin inventory exception.",Reservations agent,Refining,P1,67.0,84.5,6,Training owner,Sprint 16,13,In progress,Needs dependency
ADO-0029,REL004,Feature,"As a traveler, I need to prioritize enhancement request for river cruise cabin inventory exception.",Traveler,Committed,P1,63.0,66.7,7,Dynamics config,Sprint 17,8,Needs rework,Ready for sprint
ADO-0030,REL005,Feature,"As a support lead, I need to route escalation for managed solution release packaging.",Support lead,Refining,P2,68.8,48.1,4,ServiceNow mapping,Sprint 12,8,In progress,Needs dependency
ADO-0031,REL005,Feature,"As a training coordinator, I need to confirm acceptance criteria for managed solution release packaging.",Training coordinator,New,P2,73.7,52.0,6,None,Sprint 13,5,In progress,Ready for sprint
ADO-0032,REL005,Enabler,"As a reservations agent, I need to route escalation for managed solution release packaging.",Reservations agent,New,P2,75.5,54.3,6,Dynamics config,Sprint 14,5,Not started,Ready for sprint
ADO-0033,REL005,User Story,"As a product owner, I need to route escalation for managed solution release packaging.",Product owner,Committed,P2,84.3,56.2,6,Dynamics config,Sprint 15,13,In progress,Clarify
ADO-0034,REL005,Feature,"As a training coordinator, I need to publish stakeholder update for managed solution release packaging.",Training coordinator,Accepted,P0,64.5,37.4,4,Business sign-off,Sprint 16,3,Needs rework,Ready for sprint
ADO-0035,REL005,User Story,"As a travel advisor, I need to capture exception evidence for managed solution release packaging.",Travel advisor,Accepted,P2,74.0,81.4,4,Training owner,Sprint 17,3,Needs rework,Needs dependency
ADO-0036,REL005,Epic,"As a support lead, I need to publish stakeholder update for managed solution release packaging.",Support lead,Ready,P2,80.9,60.1,4,None,Sprint 12,5,Not started,Clarify
ADO-0037,REL006,Enabler,"As a tour operations specialist, I need to complete training readiness for servicenow release incident triage.",Tour operations specialist,Accepted,P1,69.4,68.0,3,QA data,Sprint 13,2,Needs rework,Needs dependency
ADO-0038,REL006,Feature,"As a traveler, I need to capture exception evidence for servicenow release incident triage.",Traveler,In QA,P2,77.7,79.7,7,Training owner,Sprint 14,2,Not started,Clarify
ADO-0039,REL006,User Story,"As a training coordinator, I need to prioritize enhancement request for servicenow release incident triage.",Training coordinator,In QA,P0,86.6,70.8,8,Business sign-off,Sprint 15,8,Not started,Needs dependency
ADO-0040,REL006,User Story,"As a reservations agent, I need to review release impact for servicenow release incident triage.",Reservations agent,Accepted,P1,98.0,80.5,9,None,Sprint 16,2,Needs rework,Ready for sprint
ADO-0041,REL006,Feature,"As a business sponsor, I need to validate rollback trigger for servicenow release incident triage.",Business sponsor,Committed,P1,72.6,79.4,8,None,Sprint 17,5,Passed,Defer
ADO-0042,REL006,Enabler,"As a business sponsor, I need to prioritize enhancement request for servicenow release incident triage.",Business sponsor,New,P1,82.7,74.3,5,Business sign-off,Sprint 12,8,Passed,Ready for sprint
ADO-0043,REL006,User Story,"As a tour operations specialist, I need to validate rollback trigger for servicenow release incident triage.",Tour operations specialist,Ready,P1,92.2,98.3,7,QA data,Sprint 13,8,Needs rework,Defer
ADO-0044,REL007,Enabler,"As a business sponsor, I need to complete training readiness for training playbook for itinerary amendments.",Business sponsor,New,P1,61.2,78.7,5,Training owner,Sprint 14,5,Not started,Defer
ADO-0045,REL007,Feature,"As a support lead, I need to confirm acceptance criteria for training playbook for itinerary amendments.",Support lead,New,P2,79.3,52.6,4,QA data,Sprint 15,2,Needs rework,Ready for sprint
ADO-0046,REL007,Feature,"As a reservations agent, I need to prioritize enhancement request for training playbook for itinerary amendments.",Reservations agent,In QA,P0,70.6,41.6,7,QA data,Sprint 16,5,Not started,Ready for sprint
ADO-0047,REL008,Feature,"As a tour operations specialist, I need to confirm acceptance criteria for passenger document checklist.",Tour operations specialist,Refining,P1,85.5,93.8,5,Dynamics config,Sprint 17,3,In progress,Needs dependency
ADO-0048,REL008,Enabler,"As a product owner, I need to complete training readiness for passenger document checklist.",Product owner,Committed,P2,71.5,93.4,2,QA data,Sprint 12,3,In progress,Needs dependency
